,_id,Datetime,Tweet Id,Text,Username
135,641e939aaf9b5844fe895ae2,1678768806000,1635501030191562753,Pranam message for today manifested in Dhyan by @meenapranam #truth #love #karm #Consciousness #Pappu #DelhiLiquorPolicy #EnforcementDirectorate #Oscars  #NaatuNaatu #Hindenberg #ModiHaiTohMumkinHai #Rajdeep #Oscar2023 #DeepikaPadukone #HanumanJi #KashmirFiles https://t.co/nUGWwygEFo,anjali_kalia
136,641e939aaf9b5844fe895ae3,1678768567000,1635500029451575299,@hukari_mad Hindenberg be like.... https://t.co/ckYx5BN1NN,PoornimaNimo
137,641e939aaf9b5844fe895ae4,1678768564000,1635500017480810497,"@PoornimaNimo Today TOI 
US going to investigate who is responsible to collapse of SVB. Now India needs to start investigation of Hindenberg and other players for Adani Rumors.",hukari_mad
138,641e939aaf9b5844fe895ae5,1678768536000,1635499897607843840,@TimesAlgebraIND Hindenberg my ass,zeni1su__
139,641e939aaf9b5844fe895ae6,1678768238000,1635498649009688577,"@TimesNow @anchoramitaw They want JPC in order to drag on the issue. Members will be paid handsomely with car, etc provided. Life of JPC can extend beyond the next elections and they will play more politics. People attack Adani out of pure jealousy. Short-seller Hindenberg has made huge profits.",subraman2
140,641e939aaf9b5844fe895ae7,1678767870000,1635497103714820096,"@BhavikaKapoor5 What is this Adani scam? Have you read Hindenberg Report? They have not proved anything. Just cast aspersions. Now in two months we will know what is what. Hold your horses till then. And if you think that this issue will get you votes, Pl remember Rafael. Thank you.",RajeevShrikhand
141,641e939aaf9b5844fe895ae8,1678767719000,1635496469670285312,India will survive...rest can consult Hindenberg #stockmarketcrash,rinkiakpapa
142,641e939aaf9b5844fe895ae9,1678767670000,1635496266103922688,@pitchaijohn1961 😂Hindenberg report  is scrwed after banks collapse in US. BBC next. and ur pappu is already ordering special delivery of coffin nails for his political carrier in UK. Hope u slaves live long to see that 😂,nidramayya
143,641e939aaf9b5844fe895aea,1678767553000,1635495773298196480,"Hindenberg रिपोर्ट पर जेपीसी पर चर्चा की मांग को लेकर बीआरएस सांसद के केशवा राव ने राज्यसभा में बिजनेस नोटिस स्थगित करने का प्रस्ताव रखा। hindenberg ने सिलिकॉन वैली बैंक के खातों की जांच नहीं की, बैंक दिलावलिया घोषित हो गया।
@PMOIndia @nsitharaman @AmitShah https://t.co/VrPtbptsYJ",Anandliv
144,641e939aaf9b5844fe895aeb,1678767304000,1635494732863508481,"@PawanDubey1190 @sonu96963365 @stvashish @SanjayAzadSln u dont know even the fundamentals of market linked investments.Not just LIC,many other equity funds have investments in Adani industries.Short seller Hindenberg has impacted stock values but losses wont occur until they r realized.Simple words,till LIC decide to sell their stake",Rajat27336576
145,641e939aaf9b5844fe895aec,1678766908000,1635493068114903044,@Ravisutanjani Where is hindenberg?? Didn't see they shorting us banks?,DrLizKeen
146,641e939aaf9b5844fe895aed,1678766429000,1635491058992967682,"Don't know where was hindenberg?

Financial stocks lose $465 billion globally on SVB impact worries

https://t.co/tv4sll8Nv0
Source : ""Money Control"" via Dailyhunt",Charaivety
147,641e939aaf9b5844fe895aee,1678765686000,1635487945137455104,@Mohansinha Reaction of Hindenberg but ultimately the truth.,CHMotivations
148,641e939aaf9b5844fe895aef,1678765125000,1635485590786564098,"Sectors @ Pre-Market Open

#Hindenberg #stockmarketcrash https://t.co/nJ6MsmYsk3",realtrend_in
149,641e939aaf9b5844fe895af0,1678765031000,1635485195590590466,"@MrSinha_ @nytimes Bahot saare Indian bhi hindenberg ki report leke uchhal rahe the usko ek hi baat kehni he

Agar uski report me itna hi dam hota to adani se pehle svb ki report leke aate vo

Par usko to India ko nicha dikhana tha so adani ko target kiya

Dekh lena adani me sab achchha aayega",hexocharlie
